I	K	%
0	0	66.247800
0	1	68.775000
0	2	69.724400
0	3	68.518200
0	4	69.544600
1	0	65.721600
1	1	66.363000
1	2	67.928200
1	3	68.980000
1	4	71.379000
2	0	69.647200
2	1	66.811800
2	2	68.826200
2	3	68.248800
2	4	68.056600
3	0	67.774200
3	1	65.593400
3	2	68.030800
3	3	69.942200
3	4	72.123000
4	0	65.285200
4	1	64.156400
4	2	63.874400
4	3	67.286600
4	4	69.685800
5	0	69.390800
5	1	63.476600
5	2	65.400800
5	3	71.212400
5	4	70.840200
6	0	69.467600
6	1	64.964600
6	2	66.273200
6	3	69.570200
6	4	68.838800
7	0	68.325800
7	1	63.335600
7	2	65.465000
7	3	67.569000
7	4	70.314000
8	0	68.428600
8	1	65.734600
8	2	60.243600
8	3	68.915800
8	4	70.429800
9	0	69.403600
9	1	63.964000
9	2	62.578800
9	3	68.762000
9	4	72.520600
10	0	69.839800
10	1	63.348400
10	2	61.911400
10	3	70.429800
10	4	68.608000
11	0	66.427200
11	1	62.937600
11	2	59.114800
11	3	67.043200
11	4	66.683800
12	0	70.404000
12	1	60.577400
12	2	60.359000
12	3	67.273800
12	4	69.570200
13	0	68.107800
13	1	67.351200
13	2	58.281200
13	3	70.327200
13	4	66.683800
14	0	70.237400
14	1	65.606200
14	2	53.559800
14	3	68.723400
14	4	66.645200
