I	K	%
0	0	78.704200
0	5	75.189000
0	10	77.318800
0	15	75.727800
0	20	77.549600
0	25	76.946600
0	30	73.290400
0	35	76.061400
0	40	77.023600
0	45	78.088400
0	50	76.767200
0	55	77.716400
0	60	77.575400
0	65	77.216200
1	0	67.594800
1	5	66.452600
1	10	67.466400
1	15	71.430400
1	20	72.777600
1	25	76.741600
1	30	75.971800
1	35	75.971600
1	40	78.832400
1	45	77.460000
1	50	78.832600
1	55	75.407400
1	60	79.307200
1	65	79.281600
2	0	67.440800
2	5	70.660400
2	10	68.467200
2	15	74.201400
2	20	73.637000
2	25	75.997200
2	30	76.613000
2	35	77.690800
2	40	77.742200
2	45	77.639400
2	50	78.948000
2	55	78.037000
2	60	77.742200
2	65	77.318800
3	0	70.301200
3	5	68.903200
3	10	71.045600
3	15	71.225200
3	20	74.766000
3	25	74.624800
3	30	75.356000
3	35	74.175800
3	40	78.358200
3	45	76.715800
3	50	75.984600
3	55	75.843400
3	60	76.228400
3	65	75.061000
4	0	67.684400
4	5	69.942400
4	10	70.686200
4	15	72.918400
4	20	73.649600
4	25	72.187200
4	30	75.138000
4	35	76.562000
4	40	76.087200
4	45	77.524000
4	50	74.547600
4	55	74.329600
4	60	74.034600
4	65	69.903600
5	0	63.386800
5	5	71.225200
5	10	67.761200
5	15	69.339400
5	20	68.672000
5	25	71.379200
5	30	72.892800
5	35	74.137400
5	40	76.100200
5	45	75.125200
5	50	75.510000
5	55	73.457400
5	60	72.803200
5	65	71.520000
6	0	65.606000
6	5	70.429800
6	10	70.648000
6	15	67.607600
6	20	70.237200
6	25	72.995600
6	30	72.071800
6	35	73.341800
6	40	76.036000
6	45	73.033800
6	50	72.828600
6	55	72.982400
6	60	68.787600
6	65	70.494000
7	0	65.785600
7	5	69.750000
7	10	70.378600
7	15	66.914600
7	20	67.235400
7	25	70.237200
7	30	71.238200
7	35	72.597800
7	40	74.111600
7	45	74.175800
7	50	72.815800
7	55	71.276400
7	60	69.557600
7	65	68.274600
8	0	66.953000
8	5	69.198400
8	10	71.263600
8	15	66.157800
8	20	67.145800
8	25	68.813400
8	30	71.699600
8	35	73.252000
8	40	73.111200
8	45	73.123800
8	50	70.314200
8	55	70.134600
8	60	67.248400
8	65	66.478600
9	0	64.349000
9	5	72.828800
9	10	72.687800
9	15	65.054600
9	20	64.887800
9	25	65.105800
9	30	70.609400
9	35	71.546000
9	40	72.636200
9	45	71.481400
9	50	70.250200
9	55	70.109000
9	60	68.043600
9	65	65.182800
10	0	62.809400
10	5	71.533200
10	10	70.340000
10	15	65.773000
10	20	68.223400
10	25	66.478400
10	30	71.789600
10	35	72.328400
10	40	71.687200
10	45	69.865200
10	50	69.198000
10	55	67.633200
10	60	65.208400
10	65	63.938400
11	0	65.221600
11	5	68.184800
11	10	69.711600
11	15	64.515800
11	20	61.693200
11	25	68.300200
11	30	69.057400
11	35	68.903000
11	40	70.096400
11	45	69.801000
11	50	68.133200
11	55	65.016000
11	60	66.157800
11	65	61.860200
12	0	64.374600
12	5	70.904600
12	10	69.249600
12	15	60.526000
12	20	60.205200
12	25	66.478400
12	30	69.005600
12	35	70.750600
12	40	70.429800
12	45	69.313800
12	50	66.722400
12	55	66.850600
12	60	62.771000
12	65	59.910200
13	0	65.670200
13	5	66.286200
13	10	71.161000
13	15	69.839600
13	20	56.651800
13	25	64.015400
13	30	68.736400
13	35	72.469600
13	40	68.543800
13	45	67.235400
13	50	66.247800
13	55	65.696000
13	60	62.334800
13	65	58.986600
14	0	66.722400
14	5	67.864000
14	10	70.147400
14	15	61.526600
14	20	59.833200
14	25	63.951200
14	30	67.735800
14	35	69.839800
14	40	66.452800
14	45	67.581600
14	50	66.953000
14	55	63.553800
14	60	62.065400
14	65	57.768000
15	0	69.852400
15	5	71.956400
15	10	72.110600
15	15	65.721800
15	20	56.497800
15	25	65.157200
15	30	69.929400
15	35	67.376600
15	40	66.773800
15	45	66.530000
15	50	64.336000
15	55	62.437200
15	60	61.141600
15	65	58.409400
16	0	66.401600
16	5	70.776000
16	10	72.020400
16	15	60.359200
16	20	55.715200
16	25	62.924800
16	30	68.723800
16	35	68.364200
16	40	66.901800
16	45	65.554800
16	50	65.362400
16	55	61.321200
16	60	60.526000
16	65	57.344400
17	0	68.351600
17	5	69.326400
17	10	69.724200
17	15	61.873200
17	20	52.828600
17	25	63.232800
17	30	69.185200
17	35	67.864000
17	40	66.747800
17	45	66.260400
17	50	61.719000
17	55	59.640800
17	60	58.486200
17	65	55.997600
18	0	64.695200
18	5	65.298200
18	10	68.492800
18	15	55.638000
18	20	55.125200
18	25	64.118200
18	30	65.683200
18	35	65.708800
18	40	66.786600
18	45	64.862000
18	50	62.373400
18	55	59.756400
18	60	56.484800
18	65	55.933400
19	0	69.429200
19	5	69.378000
19	10	67.184000
19	15	62.809400
19	20	56.767400
19	25	62.206600
19	30	67.184200
19	35	64.720800
19	40	67.273800
19	45	64.554200
19	50	62.668400
19	55	58.640000
19	60	56.972200
19	65	53.611400
